text_id,text_level,text
11,C1,"Critical thinking is a way of understanding what we read or hear. Adrian West, from the Edward de Bono Foundation U.K., says that argument can help find the truth. Technology helps us store and process information, but it might also change how we solve problems and think deeply. West warns that we face a lot of poor thinking and opinions, which can overwhelm our ability to reason. More data doesn't always mean better knowledge or decisions. 
The National Endowment for the Arts reports that reading has dropped by 10%, and this decline is speeding up. Patricia Greenfield, a psychology professor, believes that focusing more on visual media can reduce critical thinking. She says that less reading might lead to less critical thinking because people focus more on real-time media and multitasking. However, we still don't have a clear answer on how technology affects critical thinking. Technology's impact is complex, and it can be both good and bad. For example, a computer game might help or hurt critical thinking. Reading online can improve analysis, but too many links can stop deeper thought.
Greenfield, who studied over 50 reports on learning and technology, says that technology changes how we think. Reading helps imagination and critical thinking, while visual media can improve some information processing. But most visual media don't allow time for reflection or imagination. This can lead to people, especially young ones, not reaching their full potential.
How we view technology affects our thoughts on critical thinking. Video games and cognition show this conflict. James Paul Gee, an educational psychology professor, says video games can be good for learning. Games like Sim City and Civilization teach decision-making and analytical skills. They let players explore ideas that might be hard to access otherwise. In the digital age, as reading and math scores drop, we need to understand how technology affects thinking and analysis."
12,C1,"Matthew Crawford is a writer and motorcycle mechanic. He left office work because he was unhappy with it. His first book talked about the benefits of manual work. His latest book is about dealing with modern life. He got the idea for this book while shopping. He noticed ads on the credit card machine while entering his pin. Crawford realized that these ads are hard to avoid and take our attention. He believes that what we focus on is personal, but we are losing control over it. It is becoming harder to think or remember past conversations. To avoid constant interruptions, people are closing themselves off and avoiding simple interactions like talking to strangers. Crawford says we experience the world through things like video games and phone apps, which can be manipulative. These things reflect our desires and can take over our attention. Many people are worried about this issue. For example, office workers complain about emails but spend their free time on them. Studies show that just seeing a phone on the table can distract us. There is no scientific proof yet that our attention spans are shorter, but we are more aware of other things we could be doing. Crawford thinks technology has made it easy for us to focus on ourselves. This constant choice affects our self-control and social life. We prefer texting to talking because it feels safer. By only interacting with representations of people, we might lose something important in society. Screens are part of the problem. Crawford gives an example from his gym. There used to be one music player for everyone, which could cause tension. Now, people listen to their own music with ear buds, making the gym less social. Crawford suggests two solutions. First, we need rules to reduce noise and distraction in public spaces. More importantly, he suggests engaging in skilled activities like cooking, playing ice hockey, or racing motorcycles. These activities require dealing with real things and using good judgment. They help us connect with the world in a satisfying way. This doesn't mean everyone should become a chef, but it's important to use your judgment. There are many benefits, including professional satisfaction. Constantly fighting distractions is tiring and makes it hard to focus. Paying attention to one thing helps you focus better on other things."
13,C1,"""‘What do you do for a living?’ is a common question. We often define ourselves by our jobs. Usually, this question is easy to answer. However, when you are a philosopher, like me, it can be a bit tricky. Calling yourself a philosopher might sound pretentious. Saying you study or teach philosophy is fine, but saying you are a philosopher can seem like you claim to know some special truth. This is not true; philosophers are just like everyone else. But this idea makes me pause. Why does this stereotype exist? One reason is that philosophers are seen as people who judge others and value intellectual life. The Greek philosopher Aristotle (384 – 322 BCE) said that a life of thinking, or a philosophical life, was the best life. Few modern philosophers agree, but philosophy is still linked with thinking deeply. Another Greek philosopher, Socrates, said, ‘the unexamined life is not worth living’. He meant that just accepting what society says is not satisfying. Our ability to think about the world helps us control our lives and make decisions. But living an examined life doesn’t mean reading lots of philosophy books or spending all your time thinking. It means looking closely at everyday experiences to see if they are important. It doesn’t mean living like a wise person away from society. In fact, to help people, the examined life should be practical and shared with others. This leads to another reason for the misunderstanding about philosophers: academic philosophy has become distant from real life, especially for people without formal training. This isn’t entirely philosophers’ fault: university funding and evaluations are linked to expensive and hard-to-access journals. So, philosophers often only talk to other experts in their field. For most people, philosophy can seem far from reality. If philosophers once tried to change this view, many have stopped. The university system created this isolated environment, and academics have supported it. As some areas of philosophy focus on specific, technical debates, explaining them to non-experts is very hard. Philosophy, in some cases, has moved away from society. This needs to change. I sometimes call myself an ‘ethicist’ because I work in ethics, the part of philosophy that looks at human actions. But recently, I feel this title doesn’t fully describe my work, because ethics is often linked to rules and laws. This is a new development in philosophy: ethics now often means applied ethics, which looks at the fairness of social practices. The job of an ethicist today is to decide if an action is ‘ethical’ or acceptable. These are important questions, and I often think about them. However, philosophy is more than this. A typical discussion might start by asking if illegally downloading films is wrong (it is) and then explore ideas about responsibility, art, and consumerism. Philosophy helps people look more closely at their actions and beliefs. Sometimes we find out what we already know; other times, we see our beliefs are hard to justify. By examining these ideas, we help everyone."""
14,C1,"'People who love food, like foodies, chefs, and gourmands, might think that thinking deeply about what and how we eat can make eating more enjoyable. However, in history, philosophers have often talked about food to discuss other topics, like learning. Sometimes, discussions that seem to be about food are actually about other, loosely related ideas. For example, the ancient Greek philosopher Epicurus talked about seeking pleasure and avoiding pain in many areas of life. Yet, his name is often linked with a love for eating and drinking. We see his name used in restaurants and food shops, likely because businesses think it will attract customers. Food is social and cultural. It comes from history and is shared with others in our communities. These communities give us people to eat with and the systems to grow and share food. We interact with food more than any other product, making it an interesting topic for philosophy. Once food is made, critics talk and write about it. But why do they have such an important role? One philosopher says that tasting food is not a special skill, but that food critics are just better at describing tastes. This area has not been studied much because most research on perception focuses on sight. Another part of food is its beauty. We say paintings or music are beautiful, but not usually food. Some philosophers think that with modern cooking, food should be part of discussions about beauty, like art or poetry. But food is eaten and disappears, unlike art, which lasts over time. So, some think food cannot be considered in the same way as art. There are many ethical questions about food. We can ask what we should eat: organic, free-range, local, vegetarian, or non-GMO foods? Our choices often show our ethical beliefs, and philosophers explore why we make these choices. Cooking at home and in restaurants is different. Home cooks have a duty to their guests because of personal relationships. At home, everyone shares food and friendship. Professional cooks have responsibilities to their employers and the food, so their kitchens are not open to everyone, only to qualified people. Their relationships are professional, not personal. A recent essay called ‘Diplomacy of the Dish’ looks at how food can help bridge cultural gaps. This happens in two ways. First, we can appreciate other cultures by enjoying their food. Second, we build personal connections with people from other cultures by eating together, a practice with a long history in diplomacy. The essay includes many examples and stories that make this part of food philosophy interesting for readers.'"
15,C1,"Rob Daviau, from the US, creates 'legacy' board games. He felt that the board games he played as a child were not fun or challenging anymore. He wondered if board games could have a storyline or if decisions made in one game could affect the next. He changed a classic board game called Risk to make a new version: Risk Legacy. In this game, decisions made during play have a lasting effect. Players might have to tear up cards, write on the board, or open packets with new rules. The game is played over a set number of sessions, and past actions become part of the game. Daviau said: ‘You could point to the board and say: “Right here! You did this!”’
Daviau was then asked to help create a legacy version of Pandemic, a popular game where players work together to cure diseases. His next project was a game called SeaFall. While Pandemic Legacy was very popular, SeaFall was seen as a real test of the legacy format because it was not based on an earlier game. Set in the age of sail (16th – mid 19th century), players explore and conquer new lands. Legacy game designers must think about all possible player choices to keep the story together. They use testers to see how the game will play out. Jaime Barriga, a tester for SeaFall, said: ‘It takes a lot of time. Sometimes the first few games are great, but then it starts to fall apart, and you have to fix everything.’
Legacy board games were not expected to become popular. Even Daviau thought it would be a small interest. ‘When I was working on it, I thought: “This is different and good,”’ he said. ‘But it’s strange and breaks many rules. I thought only a few people would like it.’ However, many players, like Russell Chapman, loved the idea. He thinks it is a big step forward in game design. ‘It’s a new level of commitment, intensity, excitement,’ he said. ‘There’s nothing more exciting for a board gamer than learning a new game or way to play.’
Another fan, Ben Hogg, said the adventure was more important than worries about the game’s lifespan. ‘At first, I was worried about changing and ruining the board,’ he said. ‘But Pandemic Legacy changed that. Most people don’t watch the same movie twice, do they? You’re buying an experience. It’s like the stories in video games.’ The legacy format is influenced by video games and popular TV series. Daviau once wanted to be a TV writer but moved to advertising and then game design. The love of storytelling stayed with him. Pandemic creator Matt Leacock compares designing a legacy game to writing a novel. ‘You need to know how it starts and ends,’ he said. ‘But you also need more than just an outline.’
While Daviau feels proud of his work, he is interested in seeing what others do with the idea. But he also thinks people will soon want something new. Colby Dauch, from the publisher of SeaFall, believes the legacy format has changed how people think about board games. ‘It’s the kind of idea that changes what a board game can be.’"
16,C1,"'One night, an octopus named Inky escaped from his tank at New Zealand’s National Aquarium. He moved across the floor and squeezed into a drain leading to the Pacific Ocean. This story was shared widely online and seemed like something from a children's movie. Stories like this, about animals escaping, are fun because they make us think animals are like us. This is especially true for octopuses, which are very smart but look so different from us. How can these sea creatures open jars, recognize faces, use coconut shells as armor, and even play? 
People often think it's unscientific to say animals are like humans, but Dr. Frans de Waal, who studies primates like gorillas and chimpanzees, disagrees. He says the real problem is not recognizing the human-like traits in animals, which he calls anthropodenial. By looking at animal-cognition research, he shows that animals can do many things we thought only humans could do, like thinking about the past and future, showing empathy, and understanding others' motives. Animals are smarter than we thought.
In the past, people believed animals had complex minds. In medieval Europe, animals could even be put on trial for crimes. In the nineteenth century, naturalists looked for connections between human and animal intelligence. Charles Darwin, who developed the theory of evolution, said the difference between humans and animals is one of degree, not kind.
In the twentieth century, behaviorism changed how people viewed animal intelligence. Animals were seen as machines that responded to rewards and punishments. People who thought animals had inner lives were considered unscientific. This view came at a time when humans were destroying animal habitats and ignoring animal welfare.
Dr. de Waal believes we are now starting to see animal intelligence as similar to human intelligence, though not the same. He says the best tests of animal intelligence consider the unique traits of each species. For example, squirrels might not do well on human memory tests, but they can remember where they hid nuts. In her book, The Soul of an Octopus, naturalist Sy Montgomery suggests that if octopuses tested human intelligence, they might think we are not very smart because we can't change our skin color like they can.
Dr. de Waal is not sure if Inky really found his way to the ocean, but he knows that viral stories can help people appreciate animal intelligence. He once did an experiment to see if capuchin monkeys feel envy. When some monkeys got cucumbers and others got grapes, the ones with cucumbers got upset. The study was published in a scientific journal, but a video clip of the experiment convinced more people. This shows how our minds work in interesting ways.'"
17,C1,"'Robotics, once only seen in science fiction, is now becoming a major technological change, similar to the impact of industrialisation. Robots have been used in car and manufacturing industries for many years, but experts now say that robots will soon be used in many more areas. However, many countries are not ready for this big change. Most people agree that robots will take over many jobs in the next 50 years, but they still believe their own jobs will remain the same. This is not true: robotic automation will affect every industry soon. For example, an Australian company, Fastbrick Robotics, has created a robot called Hadrian X that can lay 1,000 bricks in one hour, a job that would take two human workers almost a day. In San Francisco, a startup called Simbe Robotics has made Tally, a robot that moves through supermarket aisles to check that products are stocked and priced correctly. Supporters of robotic automation say that robots cannot yet service or program themselves, which means new jobs will be created for technicians and programmers. Critics warn that we should not ignore the importance of human skills at work. Dr. Jing Bing Zhang, an expert in robotics, studies how robots are changing the workforce. His research shows that soon, many robots will be smarter and able to work with humans. In a few years, many top companies will have a chief robotics officer, and some governments will have laws about robots. Salaries in the robotics field will rise, but many jobs will remain unfilled due to a lack of skilled workers. Zhang says that people with lower skills will be affected by automation and should retrain to adapt. New developments in technology will lead to new types of robots for consumers, like robots that live in our homes and interact with us. This change offers great opportunities for companies but also requires new rules to protect our safety and privacy. With many jobs at risk, education is key to preparing for the future workforce. Developed countries need more graduates in science, technology, engineering, and maths (STEM) to stay competitive.'"
18,C1,"George Mallory, a famous mountaineer, is known for his simple answer to why he wanted to climb Mount Everest: ""Because it’s there."" This response reflects a common curiosity about why people engage in such dangerous activities. Mallory's answer might inspire some to follow their dreams, challenging them to face the unknown. The real value of his answer is its simplicity, suggesting that climbing might be just for adventure and fun.
In 1967, Bolivian writer Tejada-Flores wrote an important essay called ‘Games that Climbers Play’. He described seven different types of climbing activities, each with its own rules. He believed that the style of climbing, like using more or less equipment, should match the rules of the specific climbing activity. Over the years, this idea has become very popular in Western climbing discussions, from magazines to debates.
Many climbers love the feeling of freedom that climbing gives them. However, climbing can also be very limiting, like being stuck in a tent during a storm. This creates a paradox: climbing can feel both freeing and restricting. But some argue that the simplicity of climbing, with limited choices, is a form of freedom.
US rock climber Joe Fitschen offers a different perspective. He suggests asking ""Why do people climb?"" to explore why humans are drawn to climbing. Fitschen believes climbing is in our genes, a natural part of us that pushes us to take on challenges and test limits, even with risks.
US academic Brian Treanor adds that climbing can help develop important virtues like courage, humility, and respect for nature. He believes these virtues are important in our modern, risk-averse world. Climbing, therefore, has practical value in helping people develop traits that are useful in everyday life.
Another idea is that climbers who climb without help or technology must be fully committed to succeed. Experts Ebert and Robinson argue that independent climbs deserve more recognition because they are harder and riskier. However, this view has caused some controversy, as it might encourage climbers to take unnecessary risks.
Finally, climbing can be seen from a non-Western perspective. Many climbers talk about being ""in the moment"" or ""in the zone"" during a climb. The physical effort, active meditation, and intuitive problem-solving are key parts of climbing. Some say these aspects are similar to Zen philosophy, which aims for a state of perfect peace. This offers another reason why people are drawn to climbing."
79,C2,"'In recent years, a key change in higher education in the UK and around the world has been to encourage new students to get involved with research early in their studies. This change shows that research is not just for famous scholars at old universities or scientists making new discoveries. Instead, research is a basic way to build knowledge and skills. Research skills are useful not only in your studies but also in jobs, because they help you think about the world and do your work. As a student, you add to knowledge. You do not just learn and repeat it; you create it. Creating knowledge means asking questions like Why? How? When? What does this mean? What if this were different? These questions are part of what we call research. Research can be seen as a range of activities. On one end, there is complex, groundbreaking research done by highly trained people, leading to big changes. On the other end, research can be everyday questions and careful work that asks thoughtful questions about issues and makes practical suggestions. Most students have always been researchers in some way. You have done research for school projects or at work. You have asked questions that led to research since you first became interested in studying. You have also used research skills when planning a holiday, growing plants, fixing things, training a pet, or shopping online. In college and higher education, having an enquiring mind, finding problems and questions, and thinking critically about information are expected. Some students may find this hard because, in some cultures, knowledge is seen as already established, and you learn by listening to teachers and books. It might seem disrespectful to question known knowledge and authorities. But in the UK, US, much of Europe, and Australia, questioning established knowledge and authorities is important. This might seem challenging. Critical thinking is very important in research. The research of others is useful to students, academics, and in jobs, but we need to do more than just repeat what we read. We need to think about it, test it, and see if it is logical and supported by evidence. We should not just accept facts and information without questioning them.'"
80,C2,"Cities have always been places of intellectual activity. In the 18th century, people in London met in coffee houses to talk about science and politics. In modern Paris, artist Pablo Picasso discussed modern art in cafés. However, living in a city is not always easy. The same London coffee houses that encouraged discussion also spread diseases like cholera. Picasso eventually moved to the countryside. While cities are creative places, they can also be overwhelming and unnatural. Scientists are now studying how city life affects our brains, and the findings are concerning. Although we know city life is tiring, new research shows that it can also make our thinking less sharp. One reason is the lack of nature, which is surprisingly good for the brain. Studies show that hospital patients recover faster when they can see trees from their windows. Even brief views of nature can improve brain function because they give us a break from city life. This research is important because, for the first time in history, most people live in cities. Instead of open spaces, we live in crowded areas with many strangers. These unnatural surroundings affect our mental and physical health and change how we think. 
When you walk down a busy street, your brain has to manage many things: distracted people, dangerous crossings, and the complex city layout. These tasks tire us out because they use a lot of brain energy. A city is full of stimuli, so we must constantly focus our attention. This controlled perception requires effort. The brain is like a powerful computer, but paying attention uses a lot of its power. In nature, we don't need as much mental effort. This idea is called attention restoration theory, developed by psychologist Stephen Kaplan. He suggested that being in nature can restore our attention. Natural settings capture our attention without causing negative emotions, unlike a police siren. This allows our brain to relax and recharge. 
Long before scientists studied this, philosophers and landscape architects warned about the effects of city life and tried to include nature in cities. Urban parks, like Central Park in New York, offer an escape from city life. A well-designed park can improve brain function quickly. While people look for ways to boost brain performance, like energy drinks or office redesigns, few are as effective as a walk in nature. So, with all the mental challenges of city life, why do cities keep growing? And why do they remain centers of intellectual life even in the digital age? Research from the Santa Fe Institute shows that the same city features that cause attention and memory problems, like crowded streets, also lead to innovation. The ""concentration of social interactions"" is a big reason for urban creativity. Just as crowded 18th-century London led to new ideas, crowded 21st-century Cambridge, Massachusetts, is a creative tech hub. Less crowded cities might produce less innovation over time. The key is to reduce the mental stress of city life while keeping its benefits. As the song goes, sometimes people say, ""I'm sick of the trees, take me to the city!"""
81,C2,"'Where should we look for the mind? This might seem like a strange question: we usually think that thinking happens inside our heads. Today, we have advanced brain-scanning techniques to show this. However, I believe that the study of the mind should not stop at the skin or the skull. There is a lot of evidence, from ancient times to now, showing that objects, as well as neurons, are part of human thinking. From an archaeological perspective, it is clear that stone tools, jewelry, engravings, clay tokens, and writing systems have played a role in human evolution and the development of the human mind. So, I suggest that what is outside the head might also be part of the mind. It is easy to see why people think the mind and the brain are the same. Most of what we know about the mind comes from studying people without the objects they usually have around them. This makes sense for neuroscientists because of the limits of brain-scanning machines. But this often hides the fact that much of our thinking happens outside our heads. I do not want to question the neural basis of thinking, but to show that the mind is more than just the brain. It would be better to explore the idea that human intelligence extends beyond the skin into culture and the material world. This is where a new theory I’ve developed – Material Engagement Theory (MET) – comes in. MET explores how objects become part of our thinking, like when we make numbers and symbols out of clay or use a stone to make a tool. It also looks at how these ways have changed since ancient times and what these changes mean for how we think. This approach gives new insight into what minds are by changing what we know about what objects do for the mind. Think of a blind person with a stick. Where does this person’s self begin? The unity of the blind person and the stick helps us see minds and objects as connected. It also shows the flexibility of the human mind: using a stick, the blind person turns touch into sight, and the stick plays an active role. The brain treats the stick as part of the body. The blind person’s stick reminds us that human intelligence can change a lot by using new technology. My approach sees the human mind as always evolving. It is important to remember that, whatever form the ‘stick’ has taken in our history – from early stone tools to the internet – its main function was as a pathway, not a boundary. Through the ‘stick’, humans feel, discover, and understand the environment, and also move forward. That is why a stick used by a monkey to get food is different. For humans, ‘sticks’ are used to satisfy our curiosity. This unique human tendency to engage with material culture explains why we, more than any other species, make things, and how those things, in return, shape our minds. I call this metaplasticity – our minds are flexible and change as they interact with the material world. I want to include materiality in the study of the mind. MET offers a new way to understand how different forms of material culture, from stone tools to smartphones, have helped define and transform what we are and how we think. Mind-changing technology sounds futuristic, but humans have used it since they first evolved.'"
82,C1,"Photography is one of the few inventions that have greatly changed how we see the world. This is especially true in the United States, where photography quickly became a part of American culture at all levels. It was used for practical and scientific purposes, in industry, and for art. It also opened up new ways for amusement and entertainment with the arrival of the camera. Historians say that photography might be the greatest contribution of the US to the visual arts. No other art form has been as influenced by US work. This is a big claim, but it shows how photography has become central to US intellectual and artistic discussions. To fully understand its impact, we need to look at its beginnings in the mid-19th century. 
Why was photography so attractive? First, because it was a mechanical process, it matched the growing interest in technology in the US, where change was seen as a normal part of life. Just like steam power, railroads, and electricity made the world smaller by improving communication and travel, photography brought the wonders of the world into people's homes with amazing speed. Second, the camera was the best tool for showing one's self-image in a country where personal and national identities were always being created and recreated. Third, the camera was important for creating and keeping a family record, even if it was a bit idealized. Finally, the realistic nature of photographs matched the US artists' tendency towards realism and showing everyday life. 
A photograph draws attention to something, showing what the photographer wants us to see. Every picture says, ""This, you should see!"" Because a photograph is made by a machine, it has a unique quality: it is a record of events, people, or things. It shows what was in front of the camera, giving it a sense of objectivity. However, since it is taken by a person, it also has a personal point of view, or subjectivity. We might think we understand a photograph because we recognize the subject, which is why photography has been called a ""universal language."" But the meaning of a photograph is more complex. No image is shown to us without some context that affects how we understand it, like a caption in a newspaper or its placement in a gallery. To understand a photograph historically, we need to consider its purpose and role in its cultural setting: Why did the photographer take it? How did people first see it? The same image might be seen in different places and times, and its meaning can change each time.
For a long time, the camera's importance to artists was not widely known, but now it is very clear. In recent decades, starting with US artist Andy Warhol, who used photographs in his paintings, silk screens, and other works, artists have been using photographs in many ways. In short, photography has become an essential part of art, not against painting, but as an important addition to it, shaping our ideas of representation before the camera was invented."
83,C1,"In 1890, William James, an American philosopher and one of the founders of modern psychology, defined psychology as the ""science of mental life."" This definition is still useful today. We all have a mental life, so we have some idea of what this means. However, even though we can study mental life in animals like rats and monkeys, it is still a complex idea. James was mainly interested in human psychology, which he believed included thoughts and feelings, the physical world, and how we know about these things. This knowledge is personal and comes from our own thoughts, feelings, and experiences. It may or may not be influenced by scientific facts. Because of this, we often make judgments about psychological matters based on our own experiences. We act like amateur psychologists when we give opinions on complex topics, like whether brainwashing works, or why people behave in certain ways, such as feeling unhappy or quitting their jobs. Problems occur when people understand things differently. Formal psychology tries to find methods to decide which explanations are most likely correct in a situation. Psychologists help us tell the difference between subjective thoughts, which can be biased, and scientific facts. Psychology, as defined by James, is about the mind or brain. Although psychologists study the brain, they do not fully understand how it works in our experiences and behaviors, like giving birth or watching a football match. It is hard to study the brain directly, so psychologists learn more by studying behavior and making guesses about what happens inside us. A challenge in psychology is that scientific facts should be objective and verifiable, but the mind's workings are not directly observable like an engine. We can only see them indirectly through behavior. Psychology is like solving a crossword puzzle, using clues from careful observation and logical analysis. Psychology aims to describe, understand, predict, and learn how to control or change the processes it studies. Once these goals are achieved, psychology can help us understand our experiences and apply findings to real life. Psychological research has been useful in many areas, like teaching children to read, designing safer machines, and helping people communicate their feelings better. Although people have discussed psychological questions for centuries, they have only been studied scientifically in the last 150 years. Early psychologists used introspection, or looking into one's own mind, to answer questions. They wanted to identify mental structures, but introspection has limitations. As Sir Francis Galton said, it only shows a small part of brain activity. William James compared it to trying to see darkness by quickly turning on a light. Today, psychologists prefer to base their theories on careful observations of behavior rather than personal reflections."
84,C1,"In a warehouse in a business park in Michigan, USA, there is a place called the Museum of Failed Products. This museum shows the other side of modern marketing, where not all products succeed. Here, you can find unusual items like A Touch of Yogurt shampoo and Breakfast Cola, which were taken off the market because almost no one wanted to buy them. The museum is owned by a company called GfK, and its owner, Carol Sherry, believes each product tells a sad story of failure for the designers, marketers, and salespeople involved.
The surprising thing about the museum is that it is a successful business. You might think that companies would keep their own collections of failed products, but many do not. Executives visit the museum regularly, showing how rare it is for companies to keep their own records of failures. The museum started by accident. Robert McMath, a former marketing professional, began collecting new products in the 1960s to create a 'reference library.' He didn't plan to focus on failed products, but since most products do not succeed, his collection naturally became one of failures.
Today's culture of optimism might explain why these products ended up in the museum. Each product likely went through many meetings where no one realized it would fail. Even if someone did, marketers might have continued to invest money to try to make some sales and save face. Little effort is made to understand why these products failed, and people involved often avoid discussing it.
This focus on optimism is also common in the growing 'self-help' industry. One popular method is 'positive visualization,' which suggests that imagining success makes it more likely to happen. Neuroscientist Tali Sharot has found that people tend to be overly optimistic about their chances of success. Her research shows that well-balanced people often have a less accurate view of their ability to influence events compared to those with depression.
Psychologist Gabriele Oettingen has studied whether 'positive fantasies about the future' are effective. Her research shows that thinking too much about success can actually reduce motivation to achieve goals. For example, people who imagined having a successful week at work often achieved less.
Psychologist Carol Dweck suggests that our beliefs about ability affect how we handle failure. People with a 'fixed theory' mindset think ability is natural and unchangeable, so they see failure as proof they are not good enough. In contrast, those with an 'incremental theory' believe ability can grow with effort and see failure as a chance to improve. Dweck compares this to weight training, where muscles grow stronger after being pushed to their limits. Having an incremental mindset can lead to a happier life, whether or not it leads to success."
85,C1,"Everyone knows that sports teams have an advantage when they play at home. But why is that? Many people think they know the answer, but professional sports are changing quickly, and what we used to believe is now being questioned. Two main reasons for this are science and money. Sports scientists want to understand what helps players perform their best, and they have many theories about home advantage. On the other hand, people who manage money in sports wonder why home advantage matters if players are paid well. Shouldn't players perform well anywhere if they are paid enough?
What about the fans? Would it matter if a team like Manchester United played some home games in the Far East to reach their fans there? It would matter to British fans, who believe their team needs their support. Fans often think that when they cheer, their team scores, but they forget the times when cheering didn't lead to a goal.
However, there is one thing that fans believe which is supported by science. Home fans often try to influence the referee. In an experiment, referees watched a match with and without crowd noise. Those who heard the noise were less likely to call fouls against the home team. This matches what happens in real games. Referees try to avoid making decisions that would upset the home crowd.
Studies show that home advantage has decreased in all major sports, but not as much as expected. For example, in the 1890s, home teams in England's Football League won about 70% of the points, compared to 60% today. Travel used to be difficult, but now players travel in comfort, and stadiums are more similar to each other. Despite these changes, home advantage still varies by sport. Basketball has the most home advantage, followed by football, while baseball has the least. This might be because baseball focuses more on individual actions, while basketball requires teamwork, which is boosted by playing at home.
Another reason for home advantage might be related to players' testosterone levels, which are higher before home games. This could be a natural urge to defend their home ground. In the recent Rugby World Cup, some underdog teams won at home against stronger opponents, showing the power of home advantage. As one referee said, ""It's the law of the jungle out there."""
86,C1,"""‘The more I practise, the luckier I get,’ said the golfer Gary Player about 50 years ago. This saying is famous in sports and is valued by athletes and coaches. The quote's origin is debated, with many claiming it for other golfers of that time. Its meaning is also interesting. Player didn’t mean he was literally lucky; he meant, ‘The more I practise, the better I get.’ This idea is part of the nature-nurture debate in sports: is talent something you are born with, or can it be developed? However, this is not really a balanced debate. The idea that practice is more important than natural talent has been very popular. Psychologist Anders Ericsson is known for the theory that becoming an expert in any field requires 10,000 hours of practice. This theory has inspired books like Malcolm Gladwell’s ""Outliers"" and others that say practice is the key to success. They suggest that 10,000 hours is enough to make anyone an expert. But, as Epstein argues in his book, this is not always true. He points out a problem with studies on excellence: they often only look at successful people. Epstein explores why some people have certain abilities and others don’t, considering factors like environment, support, and determination. His research takes him around the world, from Kenya to Sweden, and even to the Arctic. In Alaska, he learns that in a tough sled dog race, the dogs’ drive and desire might be influenced by their genes. This suggests that determination might also have a genetic component. Epstein talks about the complexity of the topic, distinguishing between nature (genes) and nurture (environment and practice). He agrees that both are important for elite athletes. He does not dismiss the role of training or environment, suggesting that if Jamaican sprinter Usain Bolt had grown up in the US, he might have become a basketball player instead of the fastest man in history. Epstein also looks at how genes can be crucial in some cases and examines issues of race and gender. He asks: ‘If only practice matters, why do we separate men and women in sports competitions?’ Sometimes the best questions are the simplest."""
87,C1,"A recent international report shows that many children in rich countries feel lonely and unhappy. Jay Griffiths asks a simple question: why are children today so unhappy? In her book, ""Kith,"" Griffiths explains that children spend too much time indoors, in front of screens like TVs and computers, and have lost touch with nature. She believes this is the main problem. This idea is similar to other discussions about childhood today. A follow-up study interviewed children to understand their unhappiness better. It found that many children would be happier if they could play outside more. Many people over 40 remember their own childhoods fondly, talking about the freedom they had to explore and play outside. They think this was healthier than the way children live now. However, they often forget that they are the ones who have made life more protective for their children, worrying about risks. Griffiths' book has strong arguments. She talks about how parents' fear of danger keeps children indoors, which benefits the toy and gadget industry. She also discusses trends like giving medication to restless children or making them wear goggles for playground games. It's unclear how common these rules are, but Griffiths expresses her frustration clearly. She also talks about childhood freedoms and rules, from fairy tales to school regulations. While her arguments are interesting, Griffiths sometimes goes too far. She ignores important counter-arguments and at one point compares modern treatment of children to racism, which seems extreme. Griffiths is a romantic when it comes to children. She has an idealized view of them, which might not match reality. She believes children should have freedom to explore and take risks. She says children need small accidents to learn how to avoid bigger ones later. However, she doesn't explain how to ensure these accidents are ""the right size."" Also, not all children may want the adventurous life she describes. What about the quiet and cautious children? Maybe the real mistake is forcing all children into the same lifestyle, whether keeping them inside or pushing them outside."
88,C1,"I am a research bio-psychologist with a PhD, so I have spent a lot of time in school. I am good at solving problems in my work and life, but this is not because of my schooling. Most life problems cannot be solved with complex formulas or memorized answers from school. They need judgment, wisdom, and creativity, which come from life experiences. For children, these experiences come from play. My recent research focuses on the value of play for children's development. All mammals, including humans, play when they are young. Those with more to learn play more. Carnivores play more than herbivores because hunting is harder to learn than grazing. Primates play more than other mammals because their lives depend more on learning than on instincts. Children, who have the most to learn, play more than any other young primates when they can. Play is how adults and mammals have always educated themselves. The most important skills for children to live happy, productive, moral lives cannot be taught in school. These skills are learned and practiced in play. They include creativity, getting along with others, cooperating, and controlling impulses and emotions. Creativity is important for economic success. We no longer need people to follow instructions like robots or do routine calculations. We need people who can ask new questions and solve new problems. If we can develop thinkers who anticipate obstacles, we will have a strong workforce. This requires creative thinking. A creative mind is a playful mind. Geniuses are adults who keep and build on their childlike creativity. Albert Einstein said school almost destroyed his interest in math and physics, but he regained it after leaving school. He called his work 'combinatorial play'. He developed his theory of relativity by imagining himself chasing a sunbeam. We cannot teach creativity, but we can suppress it with schooling that focuses on imposed questions with one right answer. More important than creativity is getting along with others, caring for them, and cooperating. Children are born wanting to play with others, and this play helps them learn social skills, fairness, and morality. Play is voluntary, meaning players can quit. If you cannot quit, it is not play. Players know they must keep others happy to continue the game. This makes play very democratic. School has become more demanding: breaks are shorter, homework has increased, and there is more pressure for high grades. Outside school, adult-directed sports have replaced spontaneous games. 'Play dates' with adults have replaced unsupervised neighborhood play, and adults now feel they must intervene instead of letting children solve their own problems. These changes have been gradual but significant. They are due to social factors like parents' fears, experts warning about dangers, less cohesive neighborhoods, and the belief that children learn more from adults than from each other. Our children do not need more school. They need more play. If we care about our children and future generations, we must reverse the trend of the past fifty years. We must give childhood back to children. They must be allowed to play and explore so they can grow into strong adults ready for an unpredictable future."
